"Wrong email or password, please try again";"Adreça de correu o contrasenya errònia. Prova-ho de nou"
"Welcome";"Benvingut"
"Please, click on this url to finish your register process:";"Si us plau, fes click en aquest enllaç per completar el teu procés de registre:"
"Sorry, this token does not exist or has been already used";"Ho sentim, aquest token no existeix o ja ha estat utilitzat"
", confirm your email";", comfirma el teu email"
", restore your nolotiro access";", restaura el teu accés a nolotiro"
"Please, enter your email address. An email to recover your access will be sent to you.";"Si us plau, introdueix el teu email. T'enviarem un missatge per recuperar l'accés."
"Check your inbox email to restore your nolotiro access";"Comprova el teu correu per recuperar el teu accés a nolotiro"
"Check your inbox email to finish the register process";"Comprova la teva bústia de correu per completar el procés de registre"
"Somebody, probably you, wants to restore your nolotiro access. Click on this url to restore your nolotiro account:";"Algú, probablement tú, ha sol·licitat restaurar l'accés al teu compte de nolotiro.org. Clica sobre aquesta url per recuperar el teu compte:"
"Otherwise, ignore this message.";"En cas contrari, ignora aquest missatge."
"The nolotiro.org team.";"L'equip de nolotiro.org"
"This user does not exist";"L'usuari no existeix"
"You are now logged in,";"Has iniciat sessió,"
"(If you already are a registered user, please";"(Si ja ets un usuari registrat, si us plau"
"login here";"accedeix aquí"
"Send";"Enviar"
"The email address must be the same you used to register.";"L'adreça de correu ha de ser la mateixa que vas utilitzar per registrar-te."
"This email is not in our database. Please, try again.";"L'adreça de correu introduida no és a la nostra base de dades. Si us plau, torna-ho a provar."
"Please, login to vote";"Si us plau, accedeix per votar"
"Please, login to comment";"Si us plau, accedeix per afegir un comentari"
"Sorry, we are experiencing technical problems with the %s service.";"Ens sap greu, estem tenint problemes técnics amb el servei de %s"
"Choose a username:";"escull el nom d´usuari"
"Choose a password (5 or more characters):";"escull una contrasenya( no més de 5 caràcters)"
"This username is taken. Please, try again.";"Aquest nom d´usuari ja existeix. Si us plau, tria´n un altre"
"The nolotiro.org team.";"l´Equip de nolotiro.org"
"Welcome,";"Benvingut,"
"Change your nickname:";"Canvia el teu nom d´usuari"




#contact
"Contact form";"Formulari de contacte"
"Your email:";"El teu email:"
"Your message:";"El teu missatge:"
"Please, insert the 5 characters shown:";"Si us plau, introdueix els 5 caracters mostrats:"
"Value is required and can't be empty";"Aquest camp no pot estar buit"
"Captcha value is wrong";"Els caràcters introduïts no tenen coincidència amb els de la imatge"
"'%value%' is less than 20 characters long";"'%value%' té menys de 20 caracters"
"'%value%' is less than 9 characters long";"'%value%' té menys de 9 caracters"
"'%value%' is less than 5 characters long";"'%value%' té menys de 5 caracters"
"'%value%' is less than %min% characters long";'%value%' té menys de %min% caracters"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' no es una adreça de correu vàlida amb el format usuari@exemple.cat"
"'%hostname%' is no valid hostname for email address '%value%'";"'%hostname%' no és correcte el domini per l'adreça de correu '%value%'"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' sembla ser una adreça de xarxa local i no estan permeses"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' no coincideix amb la estructura demanada per a un nom de domini DNS"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' sembla ser un nom de domini però no coincideix amb cap TLD conegut"
"Message sent successfully!";" El teu missatge s'ha enviat correctament!"






#translate
"Translate";"Traduïr"
"Help us to translate nolotiro.org to your language";"Ajudans a traduïr nolotiro.org a la teva llengua"
"help to translate";"ajuda a traduir"
"translate text";"Actualment, Nolotiro.org està disponible en poques llengues, però tu pots ajudar-nos a traduïr-lo a la teva. Tria de la llista la llengua que es troba a continuació i omple els camps amb els textos traduïts. No cal omplir tots els camps, qualsevol aportació que puguis realitzar serà de gran ajuda.<br/><br/>Si no trobes la teva llengua a la llista, posa't en contacte amb nosaltres per a afegir-la."
"Choose language";"Tria llengua"
"Your translation has been sent. Thanks for your help!";"La teva traducció ha estat enviada. Gràcies per la teva ajuda!"
"Please, translate at least one text.";"Si us plau, entra un mínim d'una frase abans d'enviar."
"BetaTranslation";"Aquesta traducció està en fase de proves. Si trobes algun error o text sense traduir, si us plau informa'ns <a href='%s'>ací</a>."
"Other";"Un altre"

"Location changed successfully to:";"Ubicació canviada amb èxit a:"


#dont change town or geoapi breaks (only search by Town, in english)
"Town";"Town"
"Choose your location";"Tria la teva ubicació"
"Choose your";"Tria la teva"
"I can not connect to Yahoo geo service, sorry!";"No puc conectar amb el servei de geolocalització de Yahoo"
"No location found named:";"No s'ha trovat cap ubicació anomenada"
"This location is not a valid town. Please, try again.";"Aquesta ubicació no és una ciutat vàlida. Si us plau, intenta-ho novament"
"change location";"canviar ciutat"
"Change your location";"canvia la teva ciutat"
"Please, write your location";"Si us plau, escriu la teva ciutat o poble"
"Location:";"Ubicació:"
"give";"regal"
"want";"busco"
"Create new ad";"publicar anunci"
"View ads in";"veure anuncis a"
"Posted on ";"publicat el"
"by user ";"per l'usuari"
"page";"pàgina"
"second hand";"segona mà"
"second hand and news";"segona mà i nou"
"about";"referent a"
"contact";"contactes"
"terms of use";"termes d´ús"
"All the ads";"tots els anuncis"
"all the ads";"tots el anuncis"
"donate";"donació"
"facebook group";"grup de facebook"
"Please, write your message";"si us plau, escriu el teu missatge"
"Please, insert the 4 characters shown:";"si us plau, introdueix els 4 caràcters que es mostren, que apareixen"





