"Go to this url to reply this message:";"Fai click su questo link per rispondere al messaggio:"
"Send message to the owner";"Invia un messaggio all'autore dell'annuncio"
"Send a private message to the owner";"Invia un messaggio privato all'autore dell'annuncio"
"Write a new comment";"Scrivi un nuovo commento"
"send a private message";"invia un messaggio privato"
"You have";"Hai"
"read this message";"leggi questo messaggio"
"Reply to this message";"Rispondi a questo messaggio"
"new messages";"nuovi messaggi"
"Share this ad:";"Condividi questo annuncio:"
"This is an automated notification. Please, don't reply at this email address.";"Questo è un messaggio automatico. Per favore, non rispondere a questa mail."
"New private message to user";"Nuovo messaggio privato per l'utente"
"Subject:";"Tema"
"delete this ad";"elimina annuncio"
"Delete ad";"Elimina annuncio"
"Are you sure you want to delete this ad?";"Sicuro che vuoi eliminare quest'annuncio?"
"Ad deleted successfully.";"L'annuncio è stato eliminato."
"Create a new comment";"Scrivi un commento"
"login to post a comment";"accedi per scrivere un commento"
"Comments";"Commenti"
"comments";"commenti"
"readings";"visite"
"Your comment:";"Il tuo commento:"
"Write something!";"Scrivi qualcosa!"
"Comment published succesfully!";"Il tuo commento è stato pubblicato."
"back to home";"torna all'inizio"
"send message to";"invia il tuo messaggio a"
"Ads list";"Lista degli annunci"
"Ad list of user";"Lista degli annunci dell'utente"
"profile";"profilo"
"ads";"annunci"
"User profile";"Profilo utente"
"l dS \o\f F Y H:i:s";"d \d\e\l m \d\e Y \, H:i:s"
"search";"cerca"
"Search results for";"Risultati della ricerca per"
"Hey! Write something";"Scrivi qualcosa!"
"Sorry, no results for search:";"Spiacenti, non ci sono risultati per la tua ricerca:"
"Found";"Risultati"
"results in";"risultati in"
"seconds.";"secondi."
"back to home page";"torna alla pagina iniziale"
"Frequently asked questions";"Domande frequenti"

"About nolotiro.org";"Cerca in NoLoTiro.org"

"Privacy";"Privacy"

"last gifts published";"ultimi regali pubblicati"
"world's most recycling cities";"le cità del mondo che riciclano di più"
"most active users";"utenti più attivi"
"view more ads";"leggi più annunci"
"Translate";"Traduci"
"Help us to translate nolotiro.org to your language";"Aiutaci a tradurre NoLoTiro.org nella tua lingua"
"translate text";"Al momento NoLoTiro.org è disponibile in poche lingue, ma puoi sempre aiutare a tradurlo nella tua! Sceglila nella lista che segue e riempi i campi di testo con le tue traduzioni. Non devi riempirli tutti necessariamente, ogni piccolo aiuto è il benvenuto. Se la tua lingua non è presente nella lista, ti preghiamo di contattarci." ***
"Choose language";"Scegli la lingua"
"Your translation has been sent. Thanks for your help!";"La tua traduzione è stata inviata. Grazie per l'aiuto!"
"Please, translate at least one text.";"Per favore, traduci almeno una frase prima di inviare la tua traduzione."
"BetaTranslation";"Questa traduzione è in fase di prova. Qualora rilevassi degli errori o un testo senza traduzione, segnalacelo  <a href='%s'>qui</a>."
"Other";"Altro"
